"id","target"
0,"politician"
1,"celebrity"
2,"celebrity"
3,"politician"
4,"politician"
5,"celebrity"
6,"politician"
7,"politician"
8,"politician"
9,"politician"
10,"politician"
11,"celebrity"
12,"celebrity"
13,"politician"
14,"politician"
15,"internetplatform"
16,"internetplatform"
17,"celebrity"
18,"celebrity"
19,"politician"
20,"politician"
21,"internetplatform"
22,"internetplatform"
23,"politician"
24,"celebrity"
25,"celebrity"
26,"celebrity"
27,"internetplatform"
28,"celebrity"
29,"celebrity"
30,"celebrity"
31,"biz&tech"
32,"internetplatform"
33,"celebrity"
34,"celebrity"
35,"celebrity"
36,"politician"
37,"politician"
38,"internetplatform"
39,"celebrity"
40,"internetplatform"
41,"celebrity"
42,"politician"
43,"politician"
44,"internetplatform"
45,"celebrity"
46,"celebrity"
47,"politician"
48,"politician"
49,"biz&tech"
50,"celebrity"
51,"celebrity"
52,"celebrity"
53,"celebrity"
54,"politician"
55,"celebrity"
56,"celebrity"
57,"celebrity"
58,"politician"
59,"celebrity"
60,"internetplatform"
61,"internetplatform"
62,"politician"
63,"internetplatform"
64,"internetplatform"
65,"celebrity"
66,"politician"
67,"celebrity"
68,"celebrity"
69,"politician"
70,"politician"
71,"politician"
72,"celebrity"
73,"celebrity"
74,"celebrity"
75,"internetplatform"
76,"politician"
77,"celebrity"
78,"politician"
79,"internetplatform"
80,"politician"
81,"celebrity"
82,"celebrity"
83,"politician"
84,"celebrity"
85,"celebrity"
86,"politician"
87,"celebrity"
88,"celebrity"
89,"celebrity"
90,"celebrity"
91,"politician"
92,"politician"
93,"celebrity"
94,"internetplatform"
95,"politician"
96,"biz&tech"
97,"politician"
98,"biz&tech"
99,"celebrity"
100,"celebrity"
101,"celebrity"
102,"celebrity"
103,"politician"
104,"celebrity"
105,"celebrity"
106,"politician"
107,"politician"
108,"internetplatform"
109,"celebrity"
110,"celebrity"
111,"politician"
112,"politician"
113,"politician"
114,"celebrity"
115,"politician"
116,"biz&tech"
117,"politician"
118,"politician"
119,"biz&tech"
120,"celebrity"
121,"politician"
122,"internetplatform"
123,"politician"
124,"celebrity"
125,"internetplatform"
126,"celebrity"
127,"politician"
128,"celebrity"
129,"biz&tech"
130,"celebrity"
131,"internetplatform"
132,"celebrity"
133,"politician"
134,"politician"
135,"celebrity"
136,"celebrity"
137,"celebrity"
138,"celebrity"
139,"celebrity"
140,"biz&tech"
141,"celebrity"
142,"politician"
143,"internetplatform"
144,"internetplatform"
145,"politician"
